language_code,language_name,language_ipa,language_translate,google_speaker,transliterate
af-ZA,Afrikaans (South Africa),af,af,af-ZA-Standard-A,
ar-XA,Arabic,ar,ar,ar-XA-Wavenet-A,
bg-BG,Bulgarian (Bulgaria),bg,bg,bg-bg-Standard-A,
bn-IN,Bangla (India),bn,bn,bn-IN-Wavenet-A,
ca-ES,Catalan (Spain),ca,ca,ca-es-Standard-A,
cs-CZ,Czech (Czechia),cs,cs,cs-CZ-Wavenet-A,
da-DK,Danish (Denmark),da,da,da-DK-Wavenet-A,
de-DE,German (Germany),de,de,de-DE-Wavenet-A,
el-GR,Greek (Greece),el,el,el-GR-Wavenet-A,
en-GB,English (United Kingdom),en-gb,en,en-GB-Wavenet-A,
en-IN,English (India),en,en,en-IN-Wavenet-A,
en-US,English (United States),en-us,en,en-US-Wavenet-A,
es-ES,Spanish (Spain),es,es,es-ES-Wavenet-B,
es-US,Spanish (United States),es,es,es-US-Wavenet-A,
fi-FI,Finnish (Finland),fi,fi,fi-FI-Wavenet-A,
fr-CA,French (Canada),fr-fr,fr,fr-CA-Wavenet-A,
fr-FR,French (France),fr-fr,fr,fr-FR-Wavenet-A,
gu-IN,Gujarati (India),fu,gu,gu-IN-Wavenet-A,1
hi-IN,Hindi (India),hi,hi,hi-IN-Wavenet-A,
hu-HU,Hungarian (Hungary),hu,hu,hu-HU-Wavenet-A,
id-ID,Indonesian (Indonesia),id,id,id-ID-Wavenet-A,
is-IS,Icelandic (Iceland),is,is,is-is-Standard-A,
it-IT,Italian (Italy),it,it,it-IT-Wavenet-A,
ja-JP,Japanese (Japan),ja,ja,ja-JP-Wavenet-A,1
kn-IN,Kannada (India),kn,kn,kn-IN-Wavenet-A,
ko-KR,Korean (South Korea),ko,ko,ko-KR-Wavenet-A,
lv-LV,Latvian (Latvia),lv,lv,lv-lv-Standard-A,
ml-IN,Malayalam (India),ml,ml,ml-IN-Wavenet-A,
ms-MY,Malay (Malaysia),ms,ms,ms-MY-Wavenet-A,
nl-BE,Dutch (Belgium),nl,nl,nl-BE-Wavenet-A,
nl-NL,Dutch (Netherlands),nl,nl,nl-NL-Wavenet-A,
pa-IN,"Punjabi (Gurmukhi, India)",pa,pa,pa-IN-Wavenet-A,
pl-PL,Polish (Poland),pl,pl,pl-PL-Wavenet-A,
pt-BR,Portuguese (Brazil),pt,pt,pt-BR-Wavenet-A,
pt-PT,Portuguese (Portugal),pt,pt,pt-PT-Wavenet-A,
ro-RO,Romanian (Romania),ro,ro,ro-RO-Wavenet-A,
ru-RU,Russian (Russia),ru,ru,ru-RU-Wavenet-A,
sk-SK,Slovak (Slovakia),sk,sk,sk-SK-Wavenet-A,
sr-RS,"Serbian (Cyrillic, Serbia)",sr,sr,sr-rs-Standard-A,
sv-SE,Swedish (Sweden),sv,sv,sv-SE-Wavenet-A,
ta-IN,Tamil (India),ta,ta,ta-IN-Wavenet-A,
te-IN,Telugu (India),te,te,te-IN-Standard-A,
th-TH,Thai (Thailand),th,th,th-TH-Standard-A,
tr-TR,Turkish (Turkey),tr,tr,tr-TR-Wavenet-A,
uk-UA,Ukrainian (Ukraine),uk,uk,uk-UA-Wavenet-A,
vi-VN,Vietnamese (Vietnam),vi,vi,vi-VN-Wavenet-A,
yue-HK,"Cantonese (Traditional, Hong Kong SAR China)",yue,yue,yue-HK-Standard-A,1
zh-CN,"Chinese (Simplified, China)",cmn-latn-pinyin,zh-cn,cmn-CN-Wavenet-A,1
